id,session_id,item,engagement_with,engagement_without,information_with,information_without,"date"
1,1,1,0,1,0,-1,"2016-06-27 10:37:01"
2,1,2,0,0,1,-1,"2016-06-27 10:37:19"
3,1,3,1,1,1,0,"2016-06-27 10:37:39"
4,2,1,1,0,1,0,"2016-06-27 10:41:07"
5,3,1,1,-1,1,1,"2016-06-27 10:41:30"
6,2,2,0,-2,1,-1,"2016-06-27 10:41:36"
7,3,2,0,-1,2,1,"2016-06-27 10:41:59"
8,2,3,1,0,1,-1,"2016-06-27 10:42:29"
9,3,3,1,0,2,1,"2016-06-27 10:42:28"
10,4,1,0,-1,2,1,"2016-06-27 11:03:16"
11,4,2,0,0,1,-1,"2016-06-27 11:03:47"
12,4,3,2,1,2,1,"2016-06-27 11:04:19"
13,5,1,-1,-1,1,1,"2016-06-27 11:10:13"
14,5,2,-2,-2,0,-2,"2016-06-27 11:10:31"
15,5,3,-2,-2,-1,0,"2016-06-27 11:10:57"
16,6,1,0,0,1,0,"2016-06-27 11:27:02"
17,6,2,0,-1,-1,-2,"2016-06-27 11:27:34"
18,6,3,0,-1,1,-2,"2016-06-27 11:28:12"
19,7,1,2,1,2,0,"2016-06-27 11:38:37"
20,7,2,2,1,2,-1,"2016-06-27 11:39:19"
21,7,3,2,1,2,-1,"2016-06-27 11:39:59"
22,8,1,1,1,1,1,"2016-06-27 11:48:42"
23,8,2,0,-1,0,-1,"2016-06-27 11:50:20"
24,8,3,0,0,0,1,"2016-06-27 11:50:57"
25,9,1,0,-1,1,1,"2016-06-27 11:51:49"
26,9,2,-1,-1,1,-1,"2016-06-27 11:52:20"
27,9,3,1,1,-1,-1,"2016-06-27 11:52:49"
28,10,1,2,1,0,-1,"2016-06-27 13:53:51"
29,10,2,1,-2,0,-1,"2016-06-27 13:54:54"
30,10,3,1,0,2,0,"2016-06-27 13:55:46"
31,11,1,NULL,0,NULL,-1,"2016-06-27 15:49:52"
32,12,1,1,0,2,1,"2016-06-27 15:51:38"
33,13,1,-1,-2,2,2,"2016-06-27 15:52:13"
34,12,2,0,0,1,0,"2016-06-27 15:52:06"
35,12,3,1,-1,1,1,"2016-06-27 15:52:48"
36,13,2,-2,-2,2,1,"2016-06-27 15:54:18"
37,13,3,-1,-2,2,0,"2016-06-27 15:54:45"
38,14,1,-1,-2,1,-1,"2016-06-27 16:09:34"
39,14,2,-2,-2,0,-2,"2016-06-27 16:10:05"
40,14,3,-2,-2,2,-2,"2016-06-27 16:10:42"
41,15,1,-1,1,2,2,"2016-06-27 16:11:58"
42,15,2,1,1,2,1,"2016-06-27 16:12:40"
43,15,3,1,-1,2,1,"2016-06-27 16:13:18"
44,16,1,1,-1,2,1,"2016-06-27 16:38:45"
45,17,1,0,1,2,2,"2016-06-27 16:38:59"
46,16,2,-1,1,1,1,"2016-06-27 16:39:26"
47,17,2,1,-1,2,-1,"2016-06-27 16:39:28"
48,16,3,2,-1,2,-2,"2016-06-27 16:40:05"
49,17,3,1,-2,2,-2,"2016-06-27 16:40:37"
50,18,1,1,1,1,1,"2016-06-27 17:24:02"
51,18,2,1,0,-1,-1,"2016-06-27 17:25:01"
52,18,3,0,-1,-1,-1,"2016-06-27 17:26:46"
53,19,1,1,-1,1,1,"2016-06-27 17:43:45"
54,19,2,1,-2,1,-1,"2016-06-27 17:44:22"
55,19,3,1,0,-1,-1,"2016-06-27 17:45:06"
56,20,1,-1,-1,1,0,"2016-06-27 17:45:33"
57,20,2,1,1,0,-2,"2016-06-27 17:45:52"
58,21,1,1,1,1,1,"2016-06-27 17:46:31"
59,20,3,1,1,1,-1,"2016-06-27 17:46:10"
60,21,2,0,-1,1,1,"2016-06-27 17:46:58"
61,22,1,2,2,1,1,"2016-06-27 17:51:56"
62,22,2,-1,0,-1,-1,"2016-06-27 17:52:56"
63,22,3,1,-2,1,-2,"2016-06-27 17:54:05"
64,23,1,1,0,1,1,"2016-06-27 17:56:18"
65,23,2,-1,-1,1,-1,"2016-06-27 17:56:37"
66,23,3,-2,-1,1,0,"2016-06-27 17:56:54"
67,24,1,-1,-1,1,1,"2016-06-27 18:01:03"
68,24,2,1,-2,1,-1,"2016-06-27 18:01:32"
69,24,3,1,-1,1,1,"2016-06-27 18:01:48"
70,25,1,0,0,2,1,"2016-06-27 18:03:51"
71,25,2,-1,-1,-1,-2,"2016-06-27 18:06:09"
72,25,3,1,-2,1,0,"2016-06-27 18:08:42"
73,25,3,NULL,-2,NULL,0,"2016-06-27 18:08:04"
74,26,1,NULL,-1,NULL,-1,"2016-06-27 18:26:19"
75,27,1,-1,-1,-1,-1,"2016-06-27 18:32:57"
76,27,2,0,-2,0,-2,"2016-06-27 18:33:21"
77,27,3,0,-1,0,-1,"2016-06-27 18:33:43"
78,28,1,-1,-1,1,1,"2016-06-27 18:43:29"
79,28,2,0,1,1,1,"2016-06-27 18:45:24"
80,28,3,1,1,2,0,"2016-06-27 18:46:21"
81,29,1,-1,1,1,1,"2016-06-27 18:51:17"
82,29,2,1,2,2,2,"2016-06-27 18:52:13"
83,29,3,2,-1,1,-1,"2016-06-27 18:53:01"
84,30,1,1,1,2,1,"2016-06-27 19:01:29"
85,30,2,-1,-2,-1,-2,"2016-06-27 19:01:59"
86,30,3,-1,0,1,-1,"2016-06-27 19:02:40"
87,31,1,2,1,2,2,"2016-06-27 19:18:11"
88,31,2,-1,-1,2,-1,"2016-06-27 19:18:48"
89,31,3,-1,-1,1,-1,"2016-06-27 19:19:25"
90,32,1,1,1,1,2,"2016-06-27 19:21:27"
91,32,2,1,-1,1,-2,"2016-06-27 19:21:55"
92,32,3,-1,-1,-2,-1,"2016-06-27 19:22:29"
93,33,1,NULL,-1,NULL,0,"2016-06-27 19:37:59"
94,34,1,1,1,-1,1,"2016-06-27 20:48:50"
95,34,2,1,-1,-1,-2,"2016-06-27 20:49:20"
96,34,3,-1,1,-1,-1,"2016-06-27 20:49:42"
97,35,1,1,1,1,1,"2016-06-27 21:27:40"
98,36,1,0,0,1,-2,"2016-06-27 21:29:21"
99,35,2,-2,-2,0,0,"2016-06-27 21:28:25"
100,35,3,-1,-1,-1,-1,"2016-06-27 21:29:01"
101,36,2,0,0,1,-1,"2016-06-27 21:36:11"
102,37,1,1,1,2,1,"2016-06-27 21:31:50"
103,37,2,0,-1,0,-1,"2016-06-27 21:32:19"
104,37,3,1,0,2,0,"2016-06-27 21:32:59"
105,36,3,-1,0,1,-2,"2016-06-27 21:36:52"
106,38,1,-1,-1,1,1,"2016-06-27 22:00:00"
107,38,2,-1,-2,1,0,"2016-06-27 22:00:57"
108,39,1,-1,-1,-1,1,"2016-06-27 22:01:30"
109,38,3,-2,-2,2,-1,"2016-06-27 22:01:33"
110,39,2,0,-2,2,-1,"2016-06-27 22:02:39"
111,39,3,1,-1,2,-1,"2016-06-27 22:03:27"
112,40,1,1,-1,1,1,"2016-06-27 23:33:50"
113,40,2,-1,-1,0,-1,"2016-06-27 23:34:27"
114,40,3,0,-1,-1,-1,"2016-06-27 23:35:06"
115,41,1,2,1,2,2,"2016-06-28 04:27:07"
116,41,2,1,0,2,2,"2016-06-28 04:27:29"
117,41,3,2,1,2,2,"2016-06-28 04:27:51"
118,42,1,-1,-1,2,1,"2016-06-28 07:29:40"
119,42,2,1,-2,1,-1,"2016-06-28 07:30:36"
120,42,3,-1,-2,-1,-2,"2016-06-28 07:32:19"
121,43,1,1,-1,-1,-1,"2016-06-28 08:08:30"
122,43,2,-1,-1,1,-1,"2016-06-28 08:08:59"
123,43,3,1,-1,1,1,"2016-06-28 08:09:44"
124,44,1,1,1,-1,-2,"2016-06-29 17:58:39"
125,44,2,2,-2,1,-2,"2016-06-29 18:00:32"
126,44,3,1,-2,0,-2,"2016-06-29 18:01:20"
127,45,1,NULL,2,NULL,1,"2016-06-29 18:09:39"
128,46,1,NULL,1,NULL,1,"2016-06-30 11:10:40"
129,47,1,NULL,1,NULL,0,"2016-07-01 10:21:51"
130,48,1,1,1,0,0,"2016-07-01 10:30:39"
