imagetype	without	with
video	Strongly agree	Strongly agree
video	Strongly agree	Strongly agree
video	Strongly agree	Strongly agree
video	Strongly agree	Strongly agree
video	Strongly agree	Strongly agree
video	Strongly agree	Strongly agree
video	Strongly agree	Strongly agree
video	Strongly agree	Strongly agree
static	Strongly agree	Agree
video	Agree	Agree
video	Agree	Agree
static	Agree	Strongly agree
static	Agree	Agree
video	Agree	Strongly agree
static	Agree	Agree
video	Agree	Agree
video	Agree	Strongly agree
video	Agree	Strongly agree
video	Agree	Disagree
static	Agree	Agree
video	Agree	Agree
static	Agree	Strongly agree
static	Agree	Strongly agree
video	Agree	Agree
video	Agree	Agree
video	Agree	Agree
static	Agree	Agree
video	Agree	Disagree
video	Agree	Strongly agree
static	Agree	Agree
video	Agree	Agree
static	Agree	Agree
static	Agree	Agree
video	Agree	Agree
static	Agree	Agree
static	Agree	Neutral
static	Agree	Disagree
static	Agree	Agree
video	Agree	Strongly agree
video	Agree	Strongly agree
static	Agree	Agree
static	Agree	Agree
static	Agree	Strongly agree
video	Agree	Strongly agree
static	Agree	Strongly agree
static	Agree	Strongly agree
static	Agree	Agree
static	Agree	Agree
video	Agree	Agree
video	Agree	Agree
video	Agree	Strongly agree
video	Agree	Strongly agree
video	Agree	Strongly agree
static	Agree	Agree
video	Neutral	Agree
static	Neutral	Agree
static	Neutral	Agree
static	Neutral	Strongly agree
static	Neutral	Agree
video	Neutral	Strongly agree
static	Neutral	Strongly agree
video	Neutral	Neutral
static	Neutral	Agree
video	Neutral	Agree
video	Neutral	Strongly agree
video	Neutral	Strongly agree
static	Neutral	Agree
video	Neutral	Strongly agree
static	Neutral	Agree
video	Neutral	Agree
static	Neutral	Disagree
static	Disagree	Agree
video	Disagree	Disagree
static	Disagree	Agree
static	Disagree	Neutral
video	Disagree	Disagree
video	Disagree	Agree
static	Disagree	Agree
static	Disagree	Neutral
static	Disagree	Neutral
video	Disagree	Agree
static	Disagree	Neutral
static	Disagree	Strongly agree
static	Disagree	Agree
video	Disagree	Strongly agree
static	Disagree	Disagree
video	Disagree	Strongly agree
static	Disagree	Agree
video	Disagree	Disagree
video	Disagree	Strongly agree
static	Disagree	Agree
video	Disagree	Agree
static	Disagree	Disagree
static	Disagree	Disagree
static	Disagree	Agree
video	Disagree	Strongly agree
video	Disagree	Agree
static	Disagree	Neutral
static	Disagree	Neutral
static	Disagree	Disagree
static	Disagree	Agree
static	Disagree	Neutral
video	Disagree	Strongly agree
video	Disagree	Strongly agree
static	Disagree	Neutral
video	Disagree	Agree
static	Disagree	Agree
video	Disagree	Disagree
static	Disagree	Agree
static	Disagree	Neutral
video	Disagree	Strongly agree
static	Disagree	Agree
video	Disagree	Agree
video	Disagree	Agree
static	Disagree	Strongly disagree
static	Disagree	Agree
video	Disagree	Agree
static	Disagree	Disagree
static	Disagree	Disagree
static	Strongly disagree	Disagree
video	Strongly disagree	Strongly disagree
video	Strongly disagree	Agree
video	Strongly disagree	Agree
video	Strongly disagree	Strongly agree
static	Strongly disagree	Disagree
static	Strongly disagree	Neutral
static	Strongly disagree	Agree
static	Strongly disagree	Neutral
static	Strongly disagree	Agree
static	Strongly disagree	Agree
video	Strongly disagree	Strongly agree
static	Strongly disagree	Disagree
video	Strongly disagree	Disagree
video	Strongly disagree	Disagree
video	Strongly disagree	Strongly agree
static	Strongly disagree	Disagree
static	Strongly disagree	Agree
static	Strongly disagree	Neutral
video	Strongly disagree	Neutral
static	Strongly disagree	Neutral
static	Strongly disagree	Agree
video	Strongly disagree	Agree
video	Strongly disagree	Agree